t0 t1 t2 i0 i1 i2 m0 m1 m2 r0 r1 r2 p0 p1 p2 
98.38461 4.582236 9.192775 14.08353 18.39805 14.59031 14.0564 18.39805 14.59031 14.08352 18.39805 14.59031 14.08353 18.39805 14.77433 
98.41303 4.689314 9.407577 14.41257 18.82782 14.93119 14.38544 18.82782 14.93119 14.41256 18.82782 14.93118 14.41257 18.82782 15.1152 
98.43179 4.760032 9.54944 14.62988 19.11166 15.15632 14.60276 19.11166 15.15631 14.62988 19.11166 15.15631 14.62988 19.11166 15.34033 
98.45089 4.83197 9.69375 14.85094 19.4004 15.38533 14.82381 19.4004 15.38532 14.85093 19.4004 15.38532 14.85094 19.4004 15.56934 
98.4744 4.920618 9.871584 15.12335 19.75622 15.66753 15.09623 19.75622 15.66753 15.12335 19.75622 15.66753 15.12335 19.75622 15.85155 
98.50336 5.029776 10.09056 15.4588 20.19437 16.01505 15.43167 20.19437 16.01504 15.45879 20.19437 16.01504 15.4588 20.19437 16.19906 
98.52276 5.102959 10.23737 15.68369 20.48814 16.24804 15.65657 20.48813 16.24804 15.68369 20.48814 16.24803 15.6837 20.48814 16.43205 
98.55206 5.213336 10.4588 16.0229 20.93122 16.59945 15.99577 20.93122 16.59944 16.02289 20.93122 16.59945 16.0229 20.93122 16.78346 
98.5717 5.287316 10.60721 16.25026 21.22821 16.83499 16.22314 21.22821 16.83498 16.25026 21.22821 16.83498 16.25026 21.22821 17.019 
98.60128 5.39887 10.83101 16.5931 21.67607 17.19017 16.56598 21.67607 17.19016 16.5931 21.67607 17.19017 16.59311 21.67607 17.37418 
98.62112 5.47362 10.98097 16.82285 21.97619 17.42817 16.79572 21.97619 17.42817 16.82285 21.97619 17.42817 16.82285 21.97619 17.61219 
98.65101 5.586305 11.20704 17.16918 22.42862 17.78697 17.14206 22.42862 17.78697 17.16918 22.42862 17.78697 17.16918 22.42862 17.97099 
98.67103 5.661794 11.35848 17.4012 22.73172 18.02734 17.37408 22.73172 18.02734 17.4012 22.73172 18.02734 17.4012 22.73172 18.21136 
98.69115 5.737572 11.51051 17.63411 23.03598 18.26863 17.60699 23.03599 18.26863 17.63411 23.03599 18.26863 17.63411 23.03598 18.45265 
98.7216 5.85237 11.74081 17.98695 23.49693 18.63417 17.95983 23.49693 18.63416 17.98695 23.49693 18.63416 17.98695 23.49693 18.81819 
98.74178 5.928548 11.89364 18.22109 23.80281 18.87674 18.19397 23.80281 18.87673 18.22109 23.80281 18.87674 18.22109 23.80281 19.06076 
98.7723 6.043454 12.12417 18.57428 24.2642 19.24263 18.54716 24.2642 19.24263 18.57428 24.26421 19.24263 18.57427 24.26421 19.42665 
98.79277 6.120597 12.27894 18.81139 24.57396 19.48827 18.78427 24.57396 19.48827 18.81139 24.57397 19.48827 18.81138 24.57397 19.6723 
98.82366 6.237056 12.51258 19.16934 25.0416 19.85911 19.14223 25.0416 19.85911 19.16934 25.0416 19.85911 19.16934 25.0416 20.04313 
98.84457 6.315897 12.67075 19.41167 25.35819 20.11017 19.38456 25.35819 20.11016 19.41168 25.35819 20.11016 19.41167 25.35819 20.29419 
98.86525 6.393807 12.82706 19.65115 25.67104 20.35826 19.62403 25.67104 20.35826 19.65115 25.67104 20.35826 19.65115 25.67105 20.54228 
98.8961 6.510094 13.06035 20.00858 26.13799 20.72855 19.98146 26.13799 20.72855 20.00858 26.138 20.72855 20.00858 26.138 20.91258 
98.91697 6.588714 13.21809 20.25024 26.4537 20.9789 20.22312 26.4537 20.9789 20.25024 26.4537 20.9789 20.25024 26.45371 21.16293 
98.94859 6.707854 13.45711 20.61644 26.93211 21.35828 20.58932 26.93211 21.35828 20.61644 26.93212 21.35828 20.61644 26.93212 21.54231 
98.96941 6.786268 13.61442 20.85746 27.24698 21.60798 20.83034 27.24698 21.60798 20.85746 27.24699 21.60798 20.85746 27.24699 21.79201 
99.0014 6.90695 13.85654 21.2284 27.73159 21.99227 21.20128 27.73158 21.99227 21.2284 27.73159 21.99227 21.2284 27.7316 22.1763 
99.02219 6.985183 14.01349 21.46887 28.04574 22.24139 21.44175 28.04573 22.24139 21.46887 28.04574 22.24139 21.46887 28.04574 22.42542 
99.05402 7.105156 14.25418 21.83763 28.52749 22.62342 21.81051 28.52748 22.62342 21.83763 28.5275 22.62342 21.83763 28.5275 22.80745 
99.07563 7.186664 14.4177 22.08816 28.85478 22.88297 22.06104 28.85478 22.88296 22.08816 28.85479 22.88297 22.08816 28.8548 23.067 
99.09663 7.265812 14.57649 22.33144 29.1726 23.135 22.30432 29.1726 23.13499 22.33144 29.17261 23.13499 22.33143 29.17261 23.31903 
99.12933 7.389064 14.82376 22.71027 29.66751 23.52746 22.68315 29.6675 23.52746 22.71027 29.66751 23.52746 22.71026 29.66752 23.7115 
99.15022 7.467696 14.98151 22.95196 29.98324 23.77785 22.92483 29.98324 23.77784 22.95195 29.98325 23.77784 22.95195 29.98326 23.96188 
99.18255 7.589537 15.22595 23.32644 30.47246 24.16581 23.29932 30.47246 24.16581 23.32644 30.47247 24.16581 23.32644 30.47248 24.34985 
